Country of birth,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Korea, North",NA,NA,NA,67,35,36,49,48,142,55
"Korea, South1",24386,22405,26666,25859,22227,22824,20846,23166,20423,17138
Kosovo, X , X , - , - ,355,670,782,839,758,814
Kuwait,1230,1017,1104,1124,1037,973,1044,937,1057,1055
Kyrgyzstan,785,597,632,574,507,542,648,652,707,790
Laos,2892,2575,2198,1688,1200,956,949,923,806,917
Latvia,892,568,455,444,435,426,436,424,384,480
Lebanon,4083,4267,4254,3831,3487,3295,2879,2783,3245,2813
Lesotho,18,14,16,14,23,25,17,20,13,23
Liberia,6887,4102,7193,7641,4837,4151,4109,3334,3874,3795
Libya,271,186,285,296,355,357,315,376,524,734
Lithuania,1885,1361,967,1069,985,936,924,854,747,750
Luxembourg,28,39,28,30,22,24,19,40,26,27
Macau,189,178,205,158,143,130,120,106,105,99
Macedonia,1317,1227,1107,1128,963,1078,906,895,960,1060
Madagascar,72,53,77,71,80,83,79,95,86,72
Malawi,131,123,133,164,164,123,192,159,172,160
Malaysia,2281,2149,1945,2014,1714,2273,2605,2477,2622,2749
Maldives,D,9,D,6,5,3,D,5,13,8
Mali,408,412,523,576,528,629,734,667,604,587
Malta,70,53,66,58,74,51,62,43,39,58
Marshall Islands,53,48,39,48,37,38,50,46,56,32
Mauritania,720,651,844,597,495,393,410,354,320,298
Mauritius,108,88,83,110,84,101,77,83,81,96
Mexico,173749,148640,189989,164920,139120,143446,146406,135028,134052,158619
"Micronesia, Federated States",12,7,13,16,10,9,13,4,5,6
Moldova,3036,1356,1692,2295,1981,2258,2021,2485,2341,2496
Monaco,D,6,7,4,12,6,5,8,8,10
Mongolia,497,530,659,831,594,774,691,729,651,644
Montenegro, X , - , - ,-,120,204,265,265,289,251
Montserrat,90,66,61,43,27,30,27,-,38,14
Morocco,4949,4513,4425,5447,5013,4399,3656,3336,3605,3710
Mozambique,78,81,69,66,53,60,94,73,71,107
Namibia,56,57,46,53,60,43,59,57,44,86
Nepal,3733,3472,4093,4514,7115,10166,11312,13046,12357,12926
Netherlands,1651,1368,1240,1499,1321,1085,1091,1142,1195,1309
Netherlands Antilles (former),100,93,78,97,77,86,106,128,45,22
New Caledonia,7,5,5,13,6,5,3,6,6,9
New Zealand,1100,1047,893,947,919,803,814,921,796,855
Nicaragua,4145,3716,3614,4137,3565,3401,3046,3048,2886,3324
Niger,116,97,107,183,96,96,48,37,71,55
Nigeria,13459,12448,12475,15253,13376,11824,13575,13840,12828,11542
Norway,481,343,350,407,334,339,276,335,271,310
Oman,155,103,70,74,63,60,74,73,90,85
Pakistan,17418,13492,19719,21555,18258,15546,14740,13251,18612,18057
Palau,8,11,6,16,18,7,10,16,12,15
Panama,2418,1916,1678,1806,1536,1374,1281,1234,1095,1052
Papua New Guinea,30,31,15,19,30,20,21,27,18,11
Paraguay,719,545,481,530,467,500,467,448,391,382
Peru,21718,17699,15184,16957,14247,14064,12609,12564,10606,10148
Philippines,74606,72596,54030,60029,58173,57011,57327,54446,49996,56478
Poland,17051,10355,8354,8754,7643,6863,6300,6430,5689,5275
Portugal,1409,1019,772,946,755,821,811,918,892,857
Qatar,226,138,151,134,148,193,141,191,202,229
Romania,7137,5802,4930,4910,4003,3882,3748,3773,3246,3376
Russia,13159,9426,11695,8238,6718,7944,9969,9753,9079,8799
Rwanda,502,357,378,952,489,520,592,540,555,732
Saint Kitts-Nevis,458,347,363,310,339,350,311,259,263,222
Saint Lucia,1212,928,946,1027,872,785,919,853,844,739
Saint Vincent and the Grenadines,756,567,568,591,576,468,503,529,448,415
Samoa,283,290,227,250,219,267,238,237,239,207
Sao Tome and Principe,6,7,7,11,10,9,12,6,5,6
Saudi Arabia,1542,1171,1194,1418,1263,1396,1343,1463,1696,1744
Senegal,1367,1024,1149,1524,1285,1424,1615,1340,1273,1244
Serbia, X , - , - ,-,20,244,704,866,1143,1278
Serbia and Montenegro (former),5891,3586,3255,3166,2196,1398,801,653,267,232
Seychelles,15,7,16,10,8,15,7,6,7,11
Sierra Leone,3572,1999,2795,2687,2011,1985,1688,1651,1740,1599
Singapore,997,985,922,832,774,690,712,835,779,781
Sint Maarten,X,X,X,X,X,-,-,-,45,45
Slovakia,1111,763,653,706,538,594,528,507,460,424
Slovenia,115,87,79,108,74,69,86,62,78,107
Solomon Islands,5,10,7,D,6,D,D,3,5,D
Somalia,9462,6251,10745,13390,4558,4451,5204,3764,5190,6796
South Africa,3201,2988,2723,3171,2758,2649,2781,2629,2676,2907
South Sudan,X,X,X,X,X,-,17,59,74,127
Soviet Union (former),6229,5090,5270,5911,4978,3687,1296,1264,1136,1022
Spain,1971,1578,1621,1769,1684,1890,1842,2480,2928,3303
Sri Lanka,2191,1831,1935,2009,2036,2053,1994,1847,1767,1763
Sudan,5504,2930,3598,3577,2397,2628,2471,1945,2442,3580
Suriname,314,197,218,227,216,196,187,178,158,134
Swaziland,11,13,18,42,22,19,24,15,23,19
Sweden,1376,1145,1019,1138,1097,979,968,1106,954,1066
Switzerland,983,705,720,798,675,615,635,697,656,640
Syria,2918,2385,2641,2442,2555,2785,3014,3366,3540,3840
Taiwan,8086,8990,9073,8038,6732,6154,5331,5385,4697,4888
Tajikistan,239,172,231,265,299,382,411,550,516,595
Tanzania,949,832,838,2773,1850,1427,1516,837,774,799
Thailand,11749,8751,6637,10444,9384,9962,9459,7583,6197,7502
Togo,1720,1565,1661,1680,1563,1506,1756,1257,1612,1547
Tonga,437,438,365,379,343,408,276,348,320,327
Trinidad and Tobago,8854,6829,5937,6256,5435,5023,5214,4724,3988,3212
Tunisia,510,417,410,416,418,440,422,445,429,518
Turkey,4941,4425,4210,4958,4483,4403,4162,4144,3834,4201
Turkmenistan,248,217,274,290,224,260,223,210,254,226
Turks and Caicos Islands,52,31,35,31,29,33,30,50,40,38
Uganda,1372,1122,1174,1364,1085,1239,1340,1350,1409,1664
Ukraine,17140,11001,10813,11223,8477,8292,7642,8193,7752,7987
United Arab Emirates,1006,758,693,697,779,707,854,910,1039,1193
United Kingdom,17207,14545,14348,15748,12792,11572,12014,12984,12225,12592
United States,333,171,216,181,201,269,279,319,358,370
Uruguay,1664,1418,1451,1775,1331,1553,1374,1352,1128,1078
Uzbekistan,4015,4665,6375,5467,4770,5056,4726,4382,5194,3977
Venezuela,11341,10692,10514,11154,9409,9183,9387,9572,8427,9144
Vietnam,30691,28691,31497,29234,30632,34157,28304,27101,30283,30832
Yemen,4308,2396,1872,3134,3591,3361,2620,3532,3492,3194
Zambia,672,576,613,704,628,652,643,505,441,460
Zimbabwe,1049,1057,953,983,1274,1016,914,924,797,779
All other countries2,39,23,23,36,26,26,24,27,31,34
Unknown,2734,1394,1394,1366,1330,1245,1206,3263,1150,677
