INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162072562,01402,Vandalism,VANDALISM,A1,110,,09/06/2016 07:24:00 AM,7,2016,9,Tuesday,Part Two,HIGH ST,42.35563811,-71.05360316,"(42.35563811, -71.05360316)"
I162068657,01402,Vandalism,VANDALISM,B3,432,,08/24/2016 07:03:00 AM,7,2016,8,Wednesday,Part Two,MOUNTAIN AVE,42.28538167,-71.08546253,"(42.28538167, -71.08546253)"
I162010279,00371,Robbery,ROBBERY - HOME INVASION,B2,281,,02/07/2016 02:03:00 PM,14,2016,2,Sunday,Part One,GREENVILLE ST,42.32821952,-71.08082768,"(42.32821952, -71.08082768)"
I162065321,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,358,,08/13/2016 08:46:00 PM,20,2016,8,Saturday,Part One,MARLOWE ST,42.29818638,-71.06402824,"(42.29818638, -71.06402824)"
I162081338,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,422,,10/04/2016 06:30:00 PM,18,2016,10,Tuesday,Part Two,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
I162008495,00724,Auto Theft,AUTO THEFT,B2,304,,02/01/2016 09:07:00 AM,9,2016,2,Monday,Part One,WASHINGTON ST,42.32042206,-71.09360887,"(42.32042206, -71.09360887)"
I162012101,01402,Vandalism,VANDALISM,C11,358,,02/12/2016 10:00:00 PM,22,2016,2,Friday,Part Two,GREENBRIER ST,42.29642169,-71.07045327,"(42.29642169, -71.07045327)"
I162075900,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,335,,09/17/2016 02:05:00 AM,2,2016,9,Saturday,Part Two,COLEMAN ST,42.30776342,-71.06683062,"(42.30776342, -71.06683062)"
I162023167,01402,Vandalism,VANDALISM,A7,17,,03/24/2016 09:30:00 PM,21,2016,3,Thursday,Part Two,SHELBY ST,42.38090412,-71.02795572,"(42.38090412, -71.02795572)"
I162029272,01402,Vandalism,VANDALISM,D14,801,,04/14/2016 08:00:00 PM,20,2016,4,Thursday,Part Two,GARDNER ST,42.35351814,-71.13117064,"(42.35351814, -71.13117064)"
I162019479,01402,Vandalism,VANDALISM,B3,454,,03/12/2016 08:24:00 PM,20,2016,3,Saturday,Part Two,HARVARD ST,42.29812402,-71.07589794,"(42.29812402, -71.07589794)"
