INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162063249,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,472,,08/06/2016 08:30:00 PM,20,2016,8,Saturday,Part One,MESSINGER ST,42.27258654,-71.09805087,"(42.27258654, -71.09805087)"
I162025160,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E13,303,,04/01/2016 09:28:00 AM,9,2016,4,Friday,Other,AMORY ST,42.32133813,-71.09924423,"(42.32133813, -71.09924423)"
I162076363,00619,Larceny,LARCENY ALL OTHERS,A1,112,,09/18/2016 05:26:00 PM,17,2016,9,Sunday,Part One,ESSEX ST,42.35246671,-71.06167002,"(42.35246671, -71.06167002)"
I162060964,00613,Larceny,LARCENY SHOPLIFTING,D4,143,,07/30/2016 02:41:00 PM,14,2016,7,Saturday,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I162054050,00611,Larceny,LARCENY PICK-POCKET,A1,103,,07/06/2016 04:00:00 PM,16,2016,7,Wednesday,Part One,BROMFIELD ST,42.35698857,-71.06084937,"(42.35698857, -71.06084937)"
I162022577,00617,Larceny,LARCENY THEFT FROM BUILDING,B2,291,,03/22/2016 02:00:00 PM,14,2016,3,Tuesday,Part One,CEDAR ST,42.32720581,-71.09414427,"(42.32720581, -71.09414427)"
I162068582,00724,Auto Theft,AUTO THEFT,B3,428,,08/23/2016 11:26:00 PM,23,2016,8,Tuesday,Part One,WOOLSON ST,42.28121227,-71.08941724,"(42.28121227, -71.08941724)"
I162073551,00616,Larceny,LARCENY THEFT OF BICYCLE,E13,571,,09/09/2016 05:16:00 PM,17,2016,9,Friday,Part One,MONTEBELLO RD,42.31248272,-71.10156281,"(42.31248272, -71.10156281)"
I162046628,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,284,,06/11/2016 04:00:00 PM,16,2016,6,Saturday,Part One,MASSACHUSETTS AVE,42.34107005,-71.08255287,"(42.34107005, -71.08255287)"
I162066214,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,252,,08/16/2016 03:34:00 PM,15,2016,8,Tuesday,Part One,SOUTHVIEW ST,42.30814506,-71.0500612,"(42.30814506, -71.0500612)"
I162012915,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,C6,216,,02/17/2016 10:30:00 PM,22,2016,2,Wednesday,Part One,W NINTH ST,42.33493412,-71.0546559,"(42.33493412, -71.0546559)"
I162001434,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,357,,01/06/2016 09:08:00 AM,9,2016,1,Wednesday,Other,WESTVILLE ST,42.30053216,-71.06925877,"(42.30053216, -71.06925877)"
I162040663,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,224,,05/23/2016 07:30:00 PM,19,2016,5,Monday,Part One,E FIRST ST,42.3382731,-71.02802034,"(42.3382731, -71.02802034)"
I162008363,00301,Robbery,ROBBERY - STREET,B2,282,,01/31/2016 04:00:00 PM,16,2016,1,Sunday,Part One,WARREN ST,42.32832226,-71.08321495,"(42.32832226, -71.08321495)"
I162026217,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,487,,04/04/2016 09:00:00 PM,21,2016,4,Monday,Part One,BLAKE ST,42.26646668,-71.10693548,"(42.26646668, -71.10693548)"
I162019544,00724,Auto Theft,AUTO THEFT,B3,430,,03/13/2016 03:39:00 AM,3,2016,3,Sunday,Part One,,,,"(0E-8, 0E-8)"
I162021986,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,787,,03/21/2016 03:30:00 PM,15,2016,3,Monday,Part One,SUTHERLAND RD,42.34023408,-71.14800614,"(42.34023408, -71.14800614)"
I162026275,00613,Larceny,LARCENY SHOPLIFTING,D4,143,,04/05/2016 11:55:00 AM,11,2016,4,Tuesday,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I162018141,00351,Robbery,ROBBERY - BANK,C11,389,,03/08/2016 08:39:00 AM,8,2016,3,Tuesday,Part One,GALLIVAN BLVD,42.2825682,-71.05636435,"(42.2825682, -71.05636435)"
I162041153,00619,Larceny,LARCENY ALL OTHERS,C6,222,,05/19/2016 12:00:00 PM,12,2016,5,Thursday,Part One,E BROADWAY,42.33565035,-71.03438806,"(42.33565035, -71.03438806)"
I162024944,00617,Larceny,LARCENY THEFT FROM BUILDING,D14,,,03/30/2016 06:30:00 PM,18,2016,3,Wednesday,Part One,COMMONWEALTH AVE,42.35115388,-71.11703179,"(42.35115388, -71.11703179)"
I162045981,00613,Larceny,LARCENY SHOPLIFTING,A7,3,,06/10/2016 08:50:00 PM,20,2016,6,Friday,Part One,SARATOGA ST,42.38423979,-71.00003921,"(42.38423979, -71.00003921)"
I162038458,00619,Larceny,LARCENY ALL OTHERS,C11,395,,05/09/2016 12:00:00 AM,0,2016,5,Monday,Part One,DORCHESTER AVE,42.2843982,-71.06468373,"(42.2843982, -71.06468373)"
I162049470,00619,Larceny,LARCENY ALL OTHERS,A1,123,,06/22/2016 08:15:00 AM,8,2016,6,Wednesday,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
I162018297,00617,Larceny,LARCENY THEFT FROM BUILDING,C6,216,,03/08/2016 05:15:00 PM,17,2016,3,Tuesday,Part One,DORCHESTER ST,42.33326722,-71.05048119,"(42.33326722, -71.05048119)"
I162076509,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,A15,,,09/18/2016 04:00:00 PM,16,2016,9,Sunday,Part One,,,,"(0E-8, 0E-8)"
I162018221,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,565,,03/08/2016 12:10:00 PM,12,2016,3,Tuesday,Part One,SENATOR BOLLING CIR,42.28913147,-71.09293028,"(42.28913147, -71.09293028)"
I162044641,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,135,,06/05/2016 09:00:00 PM,21,2016,6,Sunday,Part One,BEACON ST,42.35218613,-71.08452171,"(42.35218613, -71.08452171)"
I162071130,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,115,,09/01/2016 11:46:00 AM,11,2016,9,Thursday,Part One,LINCOLN ST,42.35043297,-71.05873158,"(42.35043297, -71.05873158)"
I162010279,00371,Robbery,ROBBERY - HOME INVASION,B2,281,,02/07/2016 02:03:00 PM,14,2016,2,Sunday,Part One,GREENVILLE ST,42.32821952,-71.08082768,"(42.32821952, -71.08082768)"
I162065321,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,358,,08/13/2016 08:46:00 PM,20,2016,8,Saturday,Part One,MARLOWE ST,42.29818638,-71.06402824,"(42.29818638, -71.06402824)"
I162022250,00619,Larceny,LARCENY ALL OTHERS,D14,802,,03/19/2016 10:00:00 PM,22,2016,3,Saturday,Part One,HARVARD AVE,42.35375411,-71.13225621,"(42.35375411, -71.13225621)"
I162008495,00724,Auto Theft,AUTO THEFT,B2,304,,02/01/2016 09:07:00 AM,9,2016,2,Monday,Part One,WASHINGTON ST,42.32042206,-71.09360887,"(42.32042206, -71.09360887)"
